№	Цена (тыс USD)	Площадь апарт-мента (м2)	Коли-чество комнат (шт)	Коли-чество ванных (шт)	Расстояние до пляжа (км)	Город	Год	Компа-ния	Номер	Приведен. Цена (тыс USD)	Приведен. Очищ. Цена (тыс USD)
142	78	59	1	1		Sosua		Coral	8056	1,32	1,23
143	78	60	1	1	0,9	Sosua		C21	2601	1,3	1,21
144	78	64	1	1	0,1	Sosua		C21	2210	1,22	1,13
145	78	65	1	1		Sosua		DR	3771	1,2	1,12
146	79	50	1	1	1	Sosua		C21	1943	1,58	1,47
147	79	50	1	1	0,2	Sosua		C21	2124	1,58	1,47
148	79	55	1	1	1	Sosua		C21	1704	1,44	1,34
149	79	58	1	1	0,9	Sosua		C21	3021	1,36	1,27
150	79	60	1	1	0,5	Sosua		KI	416	1,32	1,22
151	79	65	1	1		Cabarete		Coral	8030	1,22	1,13
152	79	66	1	1		Sosua		Coral	3005	1,2	1,11
153	79	80	1	1		Cabarete		West	3391	0,99	0,92
154	79	90	2	1,5		Sosua		Coral	8065	0,88	0,82
155	79,5	55	1	1,5		Sosua		Coral	8023	1,45	1,34
156	80	40	1	1	0,1	Sosua		C21	3047	2	1,86
157	80	50	1	1		Cabarete		KI	340	1,6	1,49
158	80	55	1	1		Cabarete		West	2099	1,45	1,35
159	80	58	1	1	1	Sosua		C21	2836	1,38	1,28
160	80	59	1	1	0,2	Sosua		C21	2618	1,36	1,26
161	80	64	1	1	2,3	Sosua		KI	372	1,25	1,16
162	80	70	1	1		Sosua		DR	81	1,14	1,06
163	80	80	1	1	0,5	Sosua		C21	3046	1	0,93
164	80	83	2	2		Sosua		Coral	9087	0,96	0,9
165	80	90	2	2,5	0,7	Sosua		C21	2929	0,89	0,83
№	Цена (тыс USD)	Площадь апарт-мента (м2)	Коли-чество комнат (шт)	Коли-чество ванных (шт)	Расстояние до пляжа (км)	Город	Год	Компа-ния	Номер	Приведен. Цена (тыс USD)	Приведен. Очищ. Цена (тыс USD)
167	82	58	1	1	0,9	Sosua		C21	2184	1,41	1,31
168	82	58	1	1	0,9	Sosua		C21	2772	1,41	1,31
169	82	59	1	1		Sosua		West	3346	1,39	1,29
170	83,5	58	1	1	1	Sosua		C21	2865	1,44	1,34
171	83,5	59	1	1		Sosua		West	3745	1,42	1,32
172	84	56	1	1,5		Sosua		Coral	8071	1,5	1,4
173	84	59	1	1		Sosua		Coral	8027	1,42	1,32
174	84	100	1	2		Sosua		DR	1817	0,84	0,78
175	85	50	1	1	0,1	Cabarete		C21	1303	1,7	1,58
176	85	51	1	1		Cabarete		Coral	5026	1,67	1,55
177	85	54	1	1		Cabarete		DR	3975	1,57	1,46
178	85	57	1	1		Sosua		West	3716	1,49	1,39
179	85	62	1	1		Sosua		West	3645	1,37	1,28
180	85	62	1	1,5		Sosua		West	3644	1,37	1,28
181	85	70	1	1		Cabarete		Coral	6071	1,21	1,13
182	85	71	2		0,5	Cabarete		KI	205	1,2	1,11
183	85	75	2	1		Sosua		West	1268	1,13	1,05
184	85	99	4	4	0,5	Cabarete	2012	KI	415	0,86	0,8
185	85	125	2	2		Sosua		DR	2970	0,68	0,63
186	87	58	1	1	1	Sosua		C21	2984	1,5	1,4
187	89	64	1	1		Cabarete		West	1860	1,39	1,29
188	89	64	1	1		Cabarete		West	3589	1,39	1,29
189	89	65	1	1		Cabarete		DR	1532	1,37	1,27
190	89	75	1	1		Cabarete		DR	4077	1,19	1,1
191	89	80	1	1		Sosua		DR	4068	1,11	1,03
192	90	50	2	2	0,1	Cabarete		KI	274	1,8	1,67
193	90	50	1	1		Cabarete		DR	1288	1,8	1,67
194	90	54	1	1	0,1	Sosua		C21	3019	1,67	1,55
195	90	65	1	1		Cabarete		DR	880	1,38	1,29
196	90	97	2	2	0,4	Sosua		C21	2903	0,93	0,86
