№	Цена (тыс USD)	Площадь апарт-мента (м2)	Коли-чество комнат (шт)	Коли-чество ванных (шт)	Расстояние до пляжа (км)	Город	Год	Компа-ния	Номер	Приведен. Цена (тыс USD)	Приведен. Очищ. Цена (тыс USD)
825	429	156	4	3,5		Sosua		DR	2887	2,75	2,56
826	429	212	3	3		Cabarete		DR	965	2,02	1,88
№	Цена (тыс USD)	Площадь апарт-мента (м2)	Коли-чество комнат (шт)	Коли-чество ванных (шт)	Расстояние до пляжа (км)	Город	Год	Компа-ния	Номер	Приведен. Цена (тыс USD)	Приведен. Очищ. Цена (тыс USD)
827	429	234	3	3		Cabarete		C21	2800	1,83	1,71
828	435	128	2	2		Sosua		Coral	6120	3,4	3,16
829	435	166	2	2	0,1	Cabarete		C21	2131	2,62	2,44
830	435	220	3	3		Cabarete		Coral	9023	1,98	1,84
831	440	200	3	3		Sosua		C21	2944	2,2	2,05
832	443	177	3	2		Cabarete		West	3321	2,5	2,33
833	449	210	3	3		Cabarete		DR	3943	2,14	1,99
834	449	300	3	3		Cabarete		DR	4099	1,5	1,39
835	450	146	2	2,5		Cabarete		Coral	4042	3,08	2,87
836	450	155	3	2		Sosua		Coral	6232	2,9	2,7
837	450	156	3	2		Cabarete		C21	2936	2,88	2,68
838	450	162	2	2,5		Sosua		Coral	4049	2,78	2,58
839	450	206	3	3		Cabarete		Coral	6118	2,18	2,03
840	456	212	3	3		Sosua		DR	3990	2,15	2
841	460	218	3	3,5		Sosua		C21	2919	2,11	1,96
842	465	195	3	3		Cabarete		Coral	8055	2,38	2,22
843	470	158	2	2		Cabarete	2007	KI	303	2,97	2,77
844	470	198	2	2,5		Cabarete		DR	2844	2,37	2,21
845	475	102	2	2		Sosua		KI	351	4,66	4,33
846	475	200	3	3		Cabarete		Coral	144	2,38	2,21
847	480	234	3	3		Cabarete		C21	1536	2,05	1,91
848	485	270	3	3		Sosua		DR	4104	1,8	1,67
849	487	253	5	4,5	0,3	Sosua		C21	2548	1,92	1,79
850	495	105	2	2		Cabarete		Coral	9003	4,71	4,38
851	495	106	2	2		Cabarete		C21	1990	4,67	4,34
852	495	177	3	3		Cabarete		West	3636	2,8	2,6
853	495	213	3	3		Cabarete		Coral	6269	2,32	2,16
854	495	297	3	2,5		Cabarete		Coral	9078	1,67	1,55
855	499	280	3	2,5		Cabarete		West	2075	1,78	1,66
856	499	320	3	3		Cabarete		DR	3707	1,56	1,45
857	500	170	2	2		Cabarete		DR	3883	2,94	2,74
858	500	214	3	3		Cabarete		West	1569	2,34	2,17
859	500	234	3	3		Cabarete		Coral	4039	2,14	1,99
860	500	450	2	2		Cabarete		DR	3906	1,11	1,03
861	515	212	3	3		Cabarete		Coral	6117	2,43	2,26
862	525	212	2	2,5		Sosua		West	3392	2,48	2,3
863	525	230	3	3		Cabarete		West	2512	2,28	2,12
864	525	320	3	3		Sosua		DR	3874	1,64	1,53
865	533	213	3	3		Cabarete		Coral	3014	2,5	2,33
866	535	238	4	4		Sosua		KI	419	2,25	2,09
867	539	236	3	3,5		Cabarete		Coral	62	2,28	2,12
868	540	213	3	3		Cabarete		Coral	6022	2,54	2,36
869	550	160	2	2		Cabarete		Coral	4047	3,44	3,2
870	550	214	2	2,5		Cabarete		C21	2546	2,57	2,39
871	562	296	5	3		Cabarete		DR	3964	1,9	1,77
872	575	256	3	3,5		Cabarete		C21	2581	2,25	2,09
873	595	168	3	2,5		Cabarete		C21	2509	3,54	3,29
874	595	190	3	3		Cabarete		C21	1964	3,13	2,91
875	595	225	2	2		Cabarete		DR	1413	2,64	2,46
876	599	170	3	3		Cabarete		Coral	6061	3,52	3,28
877	599	175	3	3		Cabarete		Coral	9071	3,42	3,18
878	600	210	3	3		Cabarete		Coral	6023	2,86	2,66
879	619	214	2	2,5		Sosua		DR	3992	2,89	2,69
880	620	212	2	2,5		Sosua		Coral	8063	2,92	2,72
881	625	172	2	2,5		Cabarete		Coral	82	3,63	3,38
№	Цена (тыс USD)	Площадь апарт-мента (м2)	Коли-чество комнат (шт)	Коли-чество ванных (шт)	Расстояние до пляжа (км)	Город	Год	Компа-ния	Номер	Приведен. Цена (тыс USD)	Приведен. Очищ. Цена (тыс USD)
882	625	450	2	2		Cabarete		DR	3969	1,39	1,29
883	640	169	3	2		Cabarete		C21	2707	3,79	3,52
884	642	231	3	3		Sosua		KI	379	2,78	2,58
885	649	165	3	2		Cabarete		DR	1104	3,93	3,66
886	650	235	3	3,5		Sosua		Coral	6276	2,77	2,57
887	651	296	4	5		Cabarete		West	2479	2,2	2,05
888	680	233	3	3		Cabarete		DR	1714	2,92	2,71
889	690	250	3	3,5		Cabarete		Coral	110	2,76	2,57
890	690	262	3	3		Cabarete		C21	2140	2,63	2,45
891	695	190	3	3		Cabarete		Coral	20001	3,66	3,4
892	695	234	3	2		Sosua		C21	1731	2,97	2,76
893	695	300	3	2		Cabarete		KI	242	2,32	2,15
894	700	190	3	3		Cabarete		West	3227	3,68	3,43
895	750	135	2	2		Cabarete		Coral	5046	5,56	5,17
896	750	245	3	3		Cabarete		KI	349	3,06	2,85
897	750	250	3	3		Cabarete		Coral	6115	3	2,79
898	750	297	3	3		Cabarete		West	3318	2,53	2,35
899	750	420	3	3		Cabarete		DR	3728	1,79	1,66
900	770	315	3	3		Cabarete		KI	359	2,44	2,27
901	790	250	3	3		Cabarete		West	2633	3,16	2,94
902	800	257	4	3		Cabarete		Coral	6122	3,11	2,89
903	825	313	3	3,5		Sosua		West	3359	2,64	2,45
904	840	250	4	3		Cabarete		Coral	8013	3,36	3,12
905	840	284	4	3		Cabarete		C21	2974	2,96	2,75
906	850	332	5	5		Cabarete		Coral	122	2,56	2,38
907	850	400	3	3	0,1	Sosua		DR	3925	2,13	1,98
908	850	475	5	4,5		Sosua		Coral	6220	1,79	1,66
909	869	475	5	5		Cabarete		DR	3847	1,83	1,7
910	890	250	3	2		Sosua		KI	362	3,56	3,31
911	945	263	4	4		Cabarete	2007	KI	287	3,59	3,34
912	995	480	4	3,5		Cabarete		DR	3708	2,07	1,93
